S0 形状: (24, 32), ROI 格子数: 498
N_UAV=2, NUM_EPISODES=8000, MAX_STEPS=1500
eps_start=0.3, eps_end=0.02, eps_decay=0.9995
[EP 0245] INVALID steps=1500 reward= -505.05 覆盖率=96.6%
[EP 0246] INVALID steps=1500 reward= -519.59 覆盖率=95.0%
[EP 0247] INVALID steps=1500 reward= -606.72 覆盖率=99.0%
[EP 0248] INVALID steps=1500 reward= -582.46 覆盖率=87.3%
[EP 0249] INVALID steps=1500 reward= -510.34 覆盖率=98.6%
[EP 0250] INVALID steps=1500 reward= -537.68 覆盖率=92.6%
[EP 0251] INVALID steps=1500 reward= -604.76 覆盖率=85.7%
[EP 0252] INVALID steps=1500 reward= -520.90 覆盖率=96.6%
[EP 0253] INVALID steps=1500 reward= -555.00 覆盖率=86.7%
[EP 0254] INVALID steps=1500 reward= -771.81 覆盖率=79.7%
[EP 0255] INVALID steps=1500 reward= -567.87 覆盖率=91.0%
[EP 0256] INVALID steps=1500 reward= -640.67 覆盖率=95.4%
[EP 0257] INVALID steps=1500 reward= -554.62 覆盖率=96.6%
[EP 0258] INVALID steps=1500 reward= -612.55 覆盖率=85.7%
[EP 0259] INVALID steps=1500 reward=-2369.50 覆盖率=32.7%
[EP 0260] INVALID steps=1500 reward= -727.23 覆盖率=77.5%
[EP 0261] INVALID steps=1500 reward= -514.80 覆盖率=98.0%
[EP 0262] INVALID steps=1500 reward= -532.20 覆盖率=97.6%
[EP 0263] INVALID steps=1500 reward= -506.06 覆盖率=86.3%
[EP 0264] INVALID steps=1500 reward= -591.82 覆盖率=85.9%
[EP 0265] INVALID steps=1500 reward= -531.70 覆盖率=92.6%
[EP 0266] INVALID steps=1500 reward= -590.31 覆盖率=89.2%
[EP 0267] INVALID steps=1500 reward= -563.93 覆盖率=93.0%
[EP 0268] INVALID steps=1500 reward= -605.33 覆盖率=94.6%
[EP 0269] INVALID steps=1500 reward= -589.25 覆盖率=87.8%
[EP 0270] INVALID steps=1500 reward= -524.11 覆盖率=94.4%
[EP 0271] INVALID steps=1500 reward= -600.47 覆盖率=90.8%
[EP 0272] INVALID steps=1500 reward=-1829.96 覆盖率=89.4%
[EP 0273] INVALID steps=1500 reward= -585.80 覆盖率=90.6%
[EP 0274] INVALID steps=1500 reward= -683.17 覆盖率=68.5%
[EP 0275] INVALID steps=1500 reward= -561.65 覆盖率=97.8%
[EP 0276] INVALID steps=1500 reward= -524.63 覆盖率=99.2%
[EP 0277] INVALID steps=1500 reward= -553.84 覆盖率=95.6%
[EP 0278] INVALID steps=1500 reward= -519.82 覆盖率=97.2%
[EP 0279] INVALID steps=1500 reward= -619.92 覆盖率=94.8%
[EP 0280] INVALID steps=1500 reward= -631.70 覆盖率=94.2%
[EP 0281] INVALID steps=1500 reward= -546.97 覆盖率=93.4%
[EP 0282] INVALID steps=1500 reward= -573.74 覆盖率=95.2%
[EP 0283] INVALID steps=1500 reward=-2494.61 覆盖率=19.7%
[EP 0284] INVALID steps=1500 reward= -574.83 覆盖率=97.6%
[EP 0285] INVALID steps=1500 reward= -686.01 覆盖率=89.8%
[EP 0286] INVALID steps=1500 reward= -581.87 覆盖率=91.4%
[EP 0287] INVALID steps=1500 reward= -516.34 覆盖率=98.0%
[EP 0288] INVALID steps=1500 reward= -520.89 覆盖率=97.0%
[EP 0289] INVALID steps=1500 reward= -612.00 覆盖率=87.6%
[EP 0290] INVALID steps=1500 reward= -522.68 覆盖率=94.8%
[EP 0291] INVALID steps=1500 reward=-2365.53 覆盖率=33.7%
[EP 0292] INVALID steps=1500 reward= -502.46 覆盖率=97.0%
[EP 0293] INVALID steps=1500 reward= -522.99 覆盖率=94.2%
[EP 0294] INVALID steps=1500 reward= -577.07 覆盖率=86.5%
[EP 0295] INVALID steps=1500 reward= -581.36 覆盖率=85.9%
[EP 0296] INVALID steps=1500 reward= -598.78 覆盖率=94.8%
[EP 0297] INVALID steps=1500 reward= -534.28 覆盖率=90.0%
[EP 0298] INVALID steps=1500 reward= -567.94 覆盖率=89.2%
[EP 0299] INVALID steps=1500 reward= -729.08 覆盖率=85.5%
[EP 0300] INVALID steps=1500 reward= -525.89 覆盖率=92.0%
[EP 0301] INVALID steps=1500 reward= -660.96 覆盖率=93.2%
[EP 0302] INVALID steps=1500 reward= -605.39 覆盖率=96.4%
[EP 0303] INVALID steps=1500 reward= -544.19 覆盖率=92.8%
[EP 0304] INVALID steps=1500 reward= -522.77 覆盖率=95.8%
[EP 0305] INVALID steps=1500 reward= -618.18 覆盖率=93.4%
[EP 0306] INVALID steps=1500 reward=-1989.86 覆盖率=74.3%
[EP 0307] INVALID steps=1500 reward= -563.47 覆盖率=95.2%
[EP 0308] INVALID steps=1500 reward= -485.08 覆盖率=99.0%
[EP 0309] INVALID steps=1500 reward= -554.60 覆盖率=92.2%
[EP 0310] INVALID steps=1500 reward= -542.53 覆盖率=95.0%
[EP 0311] INVALID steps=1500 reward= -563.05 覆盖率=91.2%
[EP 0312] INVALID steps=1500 reward= -510.16 覆盖率=96.2%
[EP 0313] INVALID steps=1500 reward= -520.04 覆盖率=94.4%
[EP 0314] INVALID steps=1500 reward= -496.90 覆盖率=97.6%
[EP 0315] INVALID steps=1500 reward= -564.14 覆盖率=93.2%
[EP 0316] INVALID steps=1500 reward= -540.62 覆盖率=95.8%
[EP 0317] INVALID steps=1500 reward= -501.14 覆盖率=96.2%
[EP 0318] INVALID steps=1500 reward= -573.50 覆盖率=85.7%
[EP 0319] INVALID steps=1500 reward= -505.25 覆盖率=96.0%
[EP 0320] INVALID steps=1500 reward= -516.21 覆盖率=96.6%
[EP 0321] INVALID steps=1500 reward= -512.68 覆盖率=97.2%
[EP 0322] INVALID steps=1500 reward= -502.63 覆盖率=97.0%
[EP 0323] INVALID steps=1500 reward= -617.45 覆盖率=91.4%
[EP 0324] INVALID steps=1500 reward= -488.70 覆盖率=97.6%
[EP 0325] INVALID steps=1500 reward= -496.25 覆盖率=95.8%
[EP 0326] INVALID steps=1500 reward= -513.65 覆盖率=96.4%
[EP 0327] INVALID steps=1500 reward= -483.90 覆盖率=98.2%
[EP 0328] INVALID steps=1500 reward= -477.89 覆盖率=99.0%
[EP 0329] INVALID steps=1500 reward= -535.26 覆盖率=97.2%
[EP 0330] INVALID steps=1500 reward= -482.93 覆盖率=98.0%
[EP 0331] INVALID steps=1500 reward= -635.56 覆盖率=96.4%
[EP 0332] INVALID steps=1500 reward= -700.90 覆盖率=68.9%
[EP 0333] INVALID steps=1500 reward= -518.58 覆盖率=94.0%
[EP 0334] INVALID steps=1500 reward= -526.33 覆盖率=95.6%
[EP 0335] INVALID steps=1500 reward= -508.05 覆盖率=95.0%
[EP 0336] INVALID steps=1500 reward= -503.77 覆盖率=96.4%
[EP 0337] INVALID steps=1500 reward= -544.87 覆盖率=93.6%
[EP 0338] INVALID steps=1500 reward= -503.99 覆盖率=96.6%
[EP 0339] INVALID steps=1500 reward= -528.23 覆盖率=99.0%
[EP 0340] INVALID steps=1500 reward= -609.04 覆盖率=80.3%
[EP 0341] INVALID steps=1500 reward= -469.47 覆盖率=99.4%
[EP 0342] INVALID steps=1500 reward= -501.87 覆盖率=96.6%
[EP 0343] INVALID steps=1500 reward= -513.64 覆盖率=98.0%
[EP 0344] INVALID steps=1500 reward= -543.58 覆盖率=92.6%
[EP 0345] INVALID steps=1500 reward= -509.20 覆盖率=96.6%
[EP 0346] INVALID steps=1500 reward= -560.80 覆盖率=84.5%
[EP 0347] INVALID steps=1500 reward= -558.44 覆盖率=97.6%
[EP 0348] INVALID steps=1500 reward= -585.46 覆盖率=88.0%
[EP 0349] INVALID steps=1500 reward= -490.83 覆盖率=97.4%
[EP 0350] INVALID steps=1500 reward= -502.20 覆盖率=95.2%
[EP 0351] INVALID steps=1500 reward= -590.84 覆盖率=93.0%
[EP 0352] INVALID steps=1500 reward= -456.21 覆盖率=99.0%
[EP 0353] INVALID steps=1500 reward=-2038.54 覆盖率=68.5%
[EP 0354] INVALID steps=1500 reward= -542.18 覆盖率=94.4%
[EP 0355] INVALID steps=1500 reward= -619.76 覆盖率=88.4%
[EP 0356] INVALID steps=1500 reward= -584.11 覆盖率=95.8%
[EP 0357] INVALID steps=1500 reward=-2004.22 覆盖率=71.5%
[EP 0358] INVALID steps=1500 reward=-1991.59 覆盖率=73.3%
[EP 0359] INVALID steps=1500 reward= -391.32 覆盖率=99.2%
[EP 0360] INVALID steps=1500 reward= -538.85 覆盖率=93.6%
[EP 0361] INVALID steps=1500 reward= -506.93 覆盖率=95.2%
[EP 0362] INVALID steps=1500 reward= -531.07 覆盖率=96.4%
[EP 0363] INVALID steps=1500 reward= -521.83 覆盖率=95.4%
[EP 0364] INVALID steps=1500 reward= -683.36 覆盖率=79.1%
[EP 0365] INVALID steps=1500 reward= -546.81 覆盖率=94.0%
[EP 0366] INVALID steps=1500 reward= -529.48 覆盖率=93.0%
[EP 0367] INVALID steps=1500 reward= -542.57 覆盖率=93.2%
[EP 0368] INVALID steps=1500 reward= -504.36 覆盖率=96.4%
[EP 0369] INVALID steps=1500 reward= -651.66 覆盖率=83.1%
[EP 0370] INVALID steps=1500 reward= -536.28 覆盖率=94.6%
[EP 0371] INVALID steps=1500 reward= -651.56 覆盖率=92.4%
